flight_id,departure_airport,arrival_airport,aircraft_code,actual_departure,actual_arrival,duration,model,earn,hour_consumption,max_bording,cur_pass,perc_bording,profit
136185,AAQ,SVO,733,2017-01-14 10:06:00.000000,2017-01-14 11:49:00.000000,1.72,Boeing 737-300,1520000,2400,130,104,0.8,1354880
136383,AAQ,SVO,733,2017-01-25 10:09:00.000000,2017-01-25 11:51:00.000000,1.7,Boeing 737-300,1493200,2400,130,106,0.82,1330000
136202,AAQ,SVO,733,2017-01-05 10:07:00.000000,2017-01-05 11:49:00.000000,1.7,Boeing 737-300,1495600,2400,130,100,0.77,1332400
136119,AAQ,SVO,733,2017-01-03 10:08:00.000000,2017-01-03 11:49:00.000000,1.68,Boeing 737-300,1653000,2400,130,113,0.87,1491720
136250,AAQ,SVO,733,2017-02-08 10:06:00.000000,2017-02-08 11:47:00.000000,1.68,Boeing 737-300,1407800,2400,130,99,0.76,1246520
136486,AAQ,SVO,733,2017-02-02 10:07:00.000000,2017-02-02 11:48:00.000000,1.68,Boeing 737-300,1505400,2400,130,107,0.82,1344120
136322,AAQ,SVO,733,2017-02-06 10:11:00.000000,2017-02-06 11:52:00.000000,1.68,Boeing 737-300,1567600,2400,130,108,0.83,1406320
136268,AAQ,SVO,733,2017-02-16 10:08:00.000000,2017-02-16 11:49:00.000000,1.68,Boeing 737-300,1676200,2400,130,115,0.88,1514920
136165,AAQ,SVO,733,2017-02-22 10:11:00.000000,2017-02-22 11:52:00.000000,1.68,Boeing 737-300,1567600,2400,130,110,0.85,1406320
136282,AAQ,SVO,733,2017-01-16 10:07:00.000000,2017-01-16 11:48:00.000000,1.68,Boeing 737-300,1518800,2400,130,106,0.82,1357520
136284,AAQ,SVO,733,2017-02-07 10:07:00.000000,2017-02-07 11:48:00.000000,1.68,Boeing 737-300,1677400,2400,130,117,0.9,1516120
136209,AAQ,SVO,733,2017-01-06 10:09:00.000000,2017-01-06 11:49:00.000000,1.67,Boeing 737-300,1615200,2400,130,112,0.86,1454880
136215,AAQ,SVO,733,2017-02-28 10:09:00.000000,2017-02-28 11:49:00.000000,1.67,Boeing 737-300,1664000,2400,130,114,0.88,1503680
136226,AAQ,SVO,733,2017-01-30 10:08:00.000000,2017-01-30 11:48:00.000000,1.67,Boeing 737-300,1886000,2400,130,130,1,1725680
136452,AAQ,SVO,733,2017-02-17 10:08:00.000000,2017-02-17 11:48:00.000000,1.67,Boeing 737-300,1603000,2400,130,109,0.84,1442680
136441,AAQ,SVO,733,2017-02-03 10:07:00.000000,2017-02-03 11:47:00.000000,1.67,Boeing 737-300,1837200,2400,130,128,0.98,1676880
136264,AAQ,SVO,733,2017-02-18 10:07:00.000000,2017-02-18 11:47:00.000000,1.67,Boeing 737-300,1690800,2400,130,116,0.89,1530480
136266,AAQ,SVO,733,2017-02-27 10:08:00.000000,2017-02-27 11:48:00.000000,1.67,Boeing 737-300,1566400,2400,130,108,0.83,1406080
136269,AAQ,SVO,733,2017-02-11 10:13:00.000000,2017-02-11 11:53:00.000000,1.67,Boeing 737-300,1605400,2400,130,109,0.84,1445080
136439,AAQ,SVO,733,2017-02-25 10:08:00.000000,2017-02-25 11:48:00.000000,1.67,Boeing 737-300,1701800,2400,130,117,0.9,1541480
136146,AAQ,SVO,733,2017-02-09 10:08:00.000000,2017-02-09 11:48:00.000000,1.67,Boeing 737-300,1604200,2400,130,109,0.84,1443880
136310,AAQ,SVO,733,2017-01-22 10:07:00.000000,2017-01-22 11:47:00.000000,1.67,Boeing 737-300,1654200,2400,130,117,0.9,1493880
136316,AAQ,SVO,733,2017-01-12 10:07:00.000000,2017-01-12 11:47:00.000000,1.67,Boeing 737-300,1886000,2400,130,130,1,1725680
136320,AAQ,SVO,733,2017-02-19 10:05:00.000000,2017-02-19 11:45:00.000000,1.67,Boeing 737-300,1544400,2400,130,106,0.82,1384080
136345,AAQ,SVO,733,2017-01-24 13:32:00.000000,2017-01-24 15:12:00.000000,1.67,Boeing 737-300,1517600,2400,130,108,0.83,1357280
136348,AAQ,SVO,733,2017-02-10 10:05:00.000000,2017-02-10 11:45:00.000000,1.67,Boeing 737-300,1762800,2400,130,120,0.92,1602480
136360,AAQ,SVO,733,2017-02-05 10:08:00.000000,2017-02-05 11:48:00.000000,1.67,Boeing 737-300,1455400,2400,130,97,0.75,1295080
136351,AAQ,SVO,733,2017-02-26 10:13:00.000000,2017-02-26 11:53:00.000000,1.67,Boeing 737-300,1555400,2400,130,105,0.81,1395080
136389,AAQ,SVO,733,2017-01-18 10:10:00.000000,2017-01-18 11:50:00.000000,1.67,Boeing 737-300,1873800,2400,130,129,0.99,1713480
136403,AAQ,SVO,733,2017-02-20 10:06:00.000000,2017-02-20 11:46:00.000000,1.67,Boeing 737-300,1873800,2400,130,129,0.99,1713480
136411,AAQ,SVO,733,2017-02-04 10:06:00.000000,2017-02-04 11:46:00.000000,1.67,Boeing 737-300,1590800,2400,130,110,0.85,1430480
136423,AAQ,SVO,733,2017-01-10 10:12:00.000000,2017-01-10 11:52:00.000000,1.67,Boeing 737-300,1849400,2400,130,129,0.99,1689080
136135,AAQ,SVO,733,2017-02-01 10:08:00.000000,2017-02-01 11:48:00.000000,1.67,Boeing 737-300,1678600,2400,130,115,0.88,1518280
136122,AAQ,SVO,733,2017-01-08 10:08:00.000000,2017-01-08 11:48:00.000000,1.67,Boeing 737-300,1431000,2400,130,97,0.75,1270680
136204,AAQ,SVO,733,2017-02-23 10:06:00.000000,2017-02-23 11:46:00.000000,1.67,Boeing 737-300,1457800,2400,130,107,0.82,1297480
136485,AAQ,SVO,733,2017-01-27 10:07:00.000000,2017-01-27 11:47:00.000000,1.67,Boeing 737-300,1520000,2400,130,106,0.82,1359680
136471,AAQ,SVO,733,2017-01-17 10:11:00.000000,2017-01-17 11:51:00.000000,1.67,Boeing 737-300,1762800,2400,130,120,0.92,1602480
136464,AAQ,SVO,733,2017-01-09 10:07:00.000000,2017-01-09 11:47:00.000000,1.67,Boeing 737-300,1398000,2400,130,100,0.77,1237680
136132,AAQ,SVO,733,2017-02-15 10:09:00.000000,2017-02-15 11:48:00.000000,1.65,Boeing 737-300,1714000,2400,130,116,0.89,1555600
136172,AAQ,SVO,733,2017-01-15 10:05:00.000000,2017-01-15 11:44:00.000000,1.65,Boeing 737-300,1617600,2400,130,110,0.85,1459200
136178,AAQ,SVO,733,2017-01-29 10:10:00.000000,2017-01-29 11:49:00.000000,1.65,Boeing 737-300,1434600,2400,130,99,0.76,1276200
136181,AAQ,SVO,733,2017-01-31 10:05:00.000000,2017-01-31 11:44:00.000000,1.65,Boeing 737-300,1689600,2400,130,118,0.91,1531200
136270,AAQ,SVO,733,2017-02-12 10:12:00.000000,2017-02-12 11:51:00.000000,1.65,Boeing 737-300,1628600,2400,130,111,0.85,1470200
136293,AAQ,SVO,733,2017-01-23 10:09:00.000000,2017-01-23 11:48:00.000000,1.65,Boeing 737-300,1689600,2400,130,114,0.88,1531200
136366,AAQ,SVO,733,2017-01-11 10:08:00.000000,2017-01-11 11:47:00.000000,1.65,Boeing 737-300,1527400,2400,130,103,0.79,1369000
136387,AAQ,SVO,733,2017-01-19 10:08:00.000000,2017-01-19 11:47:00.000000,1.65,Boeing 737-300,1775000,2400,130,121,0.93,1616600
136428,AAQ,SVO,733,2017-01-21 10:08:00.000000,2017-01-21 11:47:00.000000,1.65,Boeing 737-300,1678600,2400,130,115,0.88,1520200
136436,AAQ,SVO,733,2017-01-26 10:08:00.000000,2017-01-26 11:47:00.000000,1.65,Boeing 737-300,1811600,2400,130,124,0.95,1653200
136458,AAQ,SVO,733,2017-01-02 10:07:00.000000,2017-01-02 11:46:00.000000,1.65,Boeing 737-300,1568800,2400,130,110,0.85,1410400
136463,AAQ,SVO,733,2017-01-20 10:06:00.000000,2017-01-20 11:45:00.000000,1.65,Boeing 737-300,1788400,2400,130,122,0.94,1630000
136479,AAQ,SVO,733,2017-02-21 10:08:00.000000,2017-02-21 11:47:00.000000,1.65,Boeing 737-300,1738400,2400,130,122,0.94,1580000
136120,AAQ,SVO,733,2017-02-24 10:07:00.000000,2017-02-24 11:46:00.000000,1.65,Boeing 737-300,1605400,2400,130,109,0.84,1447000
136130,AAQ,SVO,733,2017-02-13 10:07:00.000000,2017-02-13 11:46:00.000000,1.65,Boeing 737-300,1556600,2400,130,107,0.82,1398200
136131,AAQ,SVO,733,2017-01-28 10:07:00.000000,2017-01-28 11:46:00.000000,1.65,Boeing 737-300,1812800,2400,130,124,0.95,1654400
136164,AAQ,SVO,733,2017-01-07 10:07:00.000000,2017-01-07 11:46:00.000000,1.65,Boeing 737-300,1738400,2400,130,120,0.92,1580000
136249,AAQ,SVO,733,2017-02-14 10:08:00.000000,2017-02-14 11:46:00.000000,1.63,Boeing 737-300,1800600,2400,130,123,0.95,1644120
136420,AAQ,SVO,733,2017-01-01 10:09:00.000000,2017-01-01 11:47:00.000000,1.63,Boeing 737-300,1542000,2400,130,104,0.8,1385520
136275,AAQ,SVO,733,2017-01-13 10:08:00.000000,2017-01-13 11:46:00.000000,1.63,Boeing 737-300,1825000,2400,130,125,0.96,1668520
136159,AAQ,SVO,733,2017-01-04 10:07:00.000000,2017-01-04 11:45:00.000000,1.63,Boeing 737-300,1700600,2400,130,115,0.88,1544120
136669,AAQ,EGO,SU9,2017-01-17 09:26:00.000000,2017-01-17 10:17:00.000000,0.85,Sukhoi Superjet-100,752700,1700,97,95,0.98,694900
136838,AAQ,EGO,SU9,2017-01-24 09:30:00.000000,2017-01-24 10:21:00.000000,0.85,Sukhoi Superjet-100,670200,1700,97,86,0.89,612400
136900,AAQ,EGO,SU9,2017-02-01 09:30:00.000000,2017-02-01 10:21:00.000000,0.85,Sukhoi Superjet-100,765300,1700,97,97,1,707500
136605,AAQ,EGO,SU9,2017-02-15 09:28:00.000000,2017-02-15 10:19:00.000000,0.85,Sukhoi Superjet-100,765300,1700,97,97,1,707500
136841,AAQ,EGO,SU9,2017-02-07 09:25:00.000000,2017-02-07 10:16:00.000000,0.85,Sukhoi Superjet-100,765300,1700,97,97,1,707500
136927,AAQ,EGO,SU9,2017-01-22 09:28:00.000000,2017-01-22 10:19:00.000000,0.85,Sukhoi Superjet-100,765300,1700,97,97,1,707500
136733,AAQ,EGO,SU9,2017-01-09 09:27:00.000000,2017-01-09 10:18:00.000000,0.85,Sukhoi Superjet-100,746400,1700,97,94,0.97,688600
136815,AAQ,EGO,SU9,2017-02-19 09:26:00.000000,2017-02-19 10:17:00.000000,0.85,Sukhoi Superjet-100,765300,1700,97,97,1,707500
136632,AAQ,EGO,SU9,2017-01-07 12:42:00.000000,2017-01-07 13:33:00.000000,0.85,Sukhoi Superjet-100,714300,1700,97,91,0.94,656500
136907,AAQ,EGO,SU9,2017-01-16 09:31:00.000000,2017-01-16 10:22:00.000000,0.85,Sukhoi Superjet-100,759000,1700,97,96,0.99,701200
136767,AAQ,EGO,SU9,2017-01-23 09:27:00.000000,2017-01-23 10:18:00.000000,0.85,Sukhoi Superjet-100,651300,1700,97,83,0.86,593500
136769,AAQ,EGO,SU9,2017-02-10 09:30:00.000000,2017-02-10 10:21:00.000000,0.85,Sukhoi Superjet-100,696000,1700,97,88,0.91,638200
136645,AAQ,EGO,SU9,2017-01-05 09:29:00.000000,2017-01-05 10:20:00.000000,0.85,Sukhoi Superjet-100,633000,1700,97,82,0.85,575200
136823,AAQ,EGO,SU9,2017-02-05 09:27:00.000000,2017-02-05 10:18:00.000000,0.85,Sukhoi Superjet-100,620400,1700,97,78,0.8,562600
136827,AAQ,EGO,SU9,2017-02-18 09:26:00.000000,2017-02-18 10:17:00.000000,0.85,Sukhoi Superjet-100,765300,1700,97,97,1,707500
136778,AAQ,EGO,SU9,2017-02-22 09:26:00.000000,2017-02-22 10:16:00.000000,0.83,Sukhoi Superjet-100,759000,1700,97,96,0.99,702560
136571,AAQ,EGO,SU9,2017-01-25 09:28:00.000000,2017-01-25 10:18:00.000000,0.83,Sukhoi Superjet-100,752700,1700,97,95,0.98,696260
136586,AAQ,EGO,SU9,2017-01-10 09:28:00.000000,2017-01-10 10:18:00.000000,0.83,Sukhoi Superjet-100,759000,1700,97,96,0.99,702560
136600,AAQ,EGO,SU9,2017-02-08 09:26:00.000000,2017-02-08 10:16:00.000000,0.83,Sukhoi Superjet-100,765300,1700,97,97,1,708860
136609,AAQ,EGO,SU9,2017-01-08 09:28:00.000000,2017-01-08 10:18:00.000000,0.83,Sukhoi Superjet-100,639300,1700,97,81,0.84,582860
136612,AAQ,EGO,SU9,2017-02-21 09:27:00.000000,2017-02-21 10:17:00.000000,0.83,Sukhoi Superjet-100,746400,1700,97,94,0.97,689960
136630,AAQ,EGO,SU9,2017-02-25 09:32:00.000000,2017-02-25 10:22:00.000000,0.83,Sukhoi Superjet-100,746400,1700,97,94,0.97,689960
136649,AAQ,EGO,SU9,2017-01-18 09:25:00.000000,2017-01-18 10:15:00.000000,0.83,Sukhoi Superjet-100,759000,1700,97,96,0.99,702560
136661,AAQ,EGO,SU9,2017-01-01 09:27:00.000000,2017-01-01 10:17:00.000000,0.83,Sukhoi Superjet-100,759000,1700,97,96,0.99,702560
136666,AAQ,EGO,SU9,2017-02-09 09:26:00.000000,2017-02-09 10:16:00.000000,0.83,Sukhoi Superjet-100,664500,1700,97,87,0.9,608060
136672,AAQ,EGO,SU9,2017-02-03 09:28:00.000000,2017-02-03 10:18:00.000000,0.83,Sukhoi Superjet-100,759000,1700,97,96,0.99,702560
136678,AAQ,EGO,SU9,2017-01-28 09:27:00.000000,2017-01-28 10:17:00.000000,0.83,Sukhoi Superjet-100,631200,1700,97,80,0.82,574760
136706,AAQ,EGO,SU9,2017-01-06 09:30:00.000000,2017-01-06 10:20:00.000000,0.83,Sukhoi Superjet-100,740100,1700,97,95,0.98,683660
136709,AAQ,EGO,SU9,2017-01-15 09:28:00.000000,2017-01-15 10:18:00.000000,0.83,Sukhoi Superjet-100,689700,1700,97,87,0.9,633260
136720,AAQ,EGO,SU9,2017-01-26 09:29:00.000000,2017-01-26 10:19:00.000000,0.83,Sukhoi Superjet-100,752700,1700,97,95,0.98,696260
136729,AAQ,EGO,SU9,2017-01-29 09:29:00.000000,2017-01-29 10:19:00.000000,0.83,Sukhoi Superjet-100,695400,1700,97,88,0.91,638960
136755,AAQ,EGO,SU9,2017-01-21 09:30:00.000000,2017-01-21 10:20:00.000000,0.83,Sukhoi Superjet-100,765300,1700,97,97,1,708860
136780,AAQ,EGO,SU9,2017-02-24 09:30:00.000000,2017-02-24 10:20:00.000000,0.83,Sukhoi Superjet-100,714900,1700,97,89,0.92,658460
136781,AAQ,EGO,SU9,2017-01-14 09:26:00.000000,2017-01-14 10:16:00.000000,0.83,Sukhoi Superjet-100,765300,1700,97,97,1,708860
136802,AAQ,EGO,SU9,2017-02-26 09:32:00.000000,2017-02-26 10:22:00.000000,0.83,Sukhoi Superjet-100,746400,1700,97,96,0.99,689960
136807,AAQ,EGO,SU9,2017-02-23 09:28:00.000000,2017-02-23 10:18:00.000000,0.83,Sukhoi Superjet-100,531000,1700,97,68,0.7,474560
136819,AAQ,EGO,SU9,2017-01-04 09:29:00.000000,2017-01-04 10:19:00.000000,0.83,Sukhoi Superjet-100,759000,1700,97,96,0.99,702560
136857,AAQ,EGO,SU9,2017-02-13 09:31:00.000000,2017-02-13 10:21:00.000000,0.83,Sukhoi Superjet-100,765300,1700,97,97,1,708860
136869,AAQ,EGO,SU9,2017-01-31 09:26:00.000000,2017-01-31 10:16:00.000000,0.83,Sukhoi Superjet-100,765300,1700,97,97,1,708860
136871,AAQ,EGO,SU9,2017-01-13 09:28:00.000000,2017-01-13 10:18:00.000000,0.83,Sukhoi Superjet-100,765300,1700,97,97,1,708860
136875,AAQ,EGO,SU9,2017-02-16 09:29:00.000000,2017-02-16 10:19:00.000000,0.83,Sukhoi Superjet-100,765300,1700,97,97,1,708860
136888,AAQ,EGO,SU9,2017-02-14 09:29:00.000000,2017-02-14 10:19:00.000000,0.83,Sukhoi Superjet-100,626100,1700,97,79,0.81,569660
136922,AAQ,EGO,SU9,2017-02-11 09:27:00.000000,2017-02-11 10:17:00.000000,0.83,Sukhoi Superjet-100,607800,1700,97,76,0.78,551360
136936,AAQ,EGO,SU9,2017-01-02 09:28:00.000000,2017-01-02 10:18:00.000000,0.83,Sukhoi Superjet-100,632400,1700,97,82,0.85,575960
136937,AAQ,EGO,SU9,2017-01-03 09:29:00.000000,2017-01-03 10:19:00.000000,0.83,Sukhoi Superjet-100,626100,1700,97,81,0.84,569660
136953,AAQ,EGO,SU9,2017-02-27 09:27:00.000000,2017-02-27 10:17:00.000000,0.83,Sukhoi Superjet-100,765300,1700,97,97,1,708860
136956,AAQ,EGO,SU9,2017-02-04 09:33:00.000000,2017-02-04 10:23:00.000000,0.83,Sukhoi Superjet-100,746400,1700,97,96,0.99,689960
136844,AAQ,EGO,SU9,2017-02-28 09:26:00.000000,2017-02-28 10:16:00.000000,0.83,Sukhoi Superjet-100,575100,1700,97,79,0.81,518660
136855,AAQ,EGO,SU9,2017-01-11 12:07:00.000000,2017-01-11 12:57:00.000000,0.83,Sukhoi Superjet-100,702300,1700,97,87,0.9,645860
136758,AAQ,EGO,SU9,2017-01-12 09:26:00.000000,2017-01-12 10:15:00.000000,0.82,Sukhoi Superjet-100,765300,1700,97,97,1,709540
136757,AAQ,EGO,SU9,2017-01-27 09:30:00.000000,2017-01-27 10:19:00.000000,0.82,Sukhoi Superjet-100,765300,1700,97,97,1,709540
136754,AAQ,EGO,SU9,2017-02-06 09:29:00.000000,2017-02-06 10:18:00.000000,0.82,Sukhoi Superjet-100,721200,1700,97,90,0.93,665440
136660,AAQ,EGO,SU9,2017-02-20 09:26:00.000000,2017-02-20 10:15:00.000000,0.82,Sukhoi Superjet-100,677100,1700,97,87,0.9,621340
136951,AAQ,EGO,SU9,2017-02-02 09:28:00.000000,2017-02-02 10:17:00.000000,0.82,Sukhoi Superjet-100,720600,1700,97,90,0.93,664840
136887,AAQ,EGO,SU9,2017-01-20 09:30:00.000000,2017-01-20 10:19:00.000000,0.82,Sukhoi Superjet-100,595200,1700,97,78,0.8,539440
136620,AAQ,EGO,SU9,2017-02-17 09:30:00.000000,2017-02-17 10:19:00.000000,0.82,Sukhoi Superjet-100,613500,1700,97,79,0.81,557740
136861,AAQ,EGO,SU9,2017-02-12 09:28:00.000000,2017-02-12 10:17:00.000000,0.82,Sukhoi Superjet-100,689100,1700,97,87,0.9,633340
136654,AAQ,EGO,SU9,2017-01-19 09:28:00.000000,2017-01-19 10:17:00.000000,0.82,Sukhoi Superjet-100,759000,1700,97,96,0.99,703240
136642,AAQ,EGO,SU9,2017-01-30 09:28:00.000000,2017-01-30 10:17:00.000000,0.82,Sukhoi Superjet-100,531000,1700,97,64,0.66,475240
